trackName,artistName,genre
Apocalypse,Cigarettes After Sex,ambient pop
Apollo - Radio Edit,Astronaut,complextro
Apologize,OneRepublic,piano rock
Apple Pie,Lizzy McAlpine,alt z
Aquela Paz,DJ Lagoa,lo-fi brasileiro
Arabian Nights (2019),Will Smith,hip hop
Arabic Kuthu - Halamithi Habibo (From "Beast"),Anirudh Ravichander,
Arcade,Duncan Laurence,dutch pop
Arcadia MIX,LXST CXNTURY,chill phonk
Archetype,Omar Apollo,bedroom pop
Are Re Are,Uttam Singh,classic bollywood
Are Re Are (Part-2),Uttam Singh,classic bollywood
Are We Gonna Be Alright,Ewan J Phillips,british singer-songwriter
Are you happy?,shy martin,alt z
Area,MagnusTheMagnus,
Argonauts,The Little Ones,shimmer pop
Armani,Zack Knight,desi hip hop
Armenia,Joan Thiele,italian indie pop
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,emo rap
Army,Besomorph,alt z
Army-Attack,Hiroyuki Sawano,anime score
Around My Neck,FINNEAS,alt z
Arrows,Vampire Weekend,baroque pop
Art of Silence,UniqOfficial,
Artful Haze,Obie Hans,lo-fi jazzhop
Artistry,Jacob Lee,australian pop
As It Was,Harry Styles,pop
As It Was - Spotify Singles,Sasha Alex Sloan,alt z
As Long As You Love Me,Justin Bieber,canadian pop
As the World Caves In,Matt Maltese,indie anthem-folk
Asgard - From "Thor: The Dark World"/Score,Brian Tyler,orchestral soundtrack
Ashutosh Shashamk Shekhar,Sonu Nigam,filmi
Ass Like That,Eminem,detroit hip hop
Assassin,Au/Ra,alt z
Astrovan,Mt. Joy,pov: indie
Asura,Claptu,lo-fi latino
Asylums for the feeling feat. Leila Adu,Silent Poets,japanese dub
At My Worst,Pink Sweat$,bedroom soul
At My Worst (feat. Kehlani),Pink Sweat$,bedroom soul
At Night,Yasumu,lo-fi study
At the Sea,Yasumu,lo-fi study
Atlantic,Atlis,
Atlantis,Kainbeats,anime lo-fi
Atlantis - Extra Sped Up Version,Seafret,folk-pop
Atmospheric Entry,Hans Zimmer,german soundtrack
Attack on Titan,Hiroyuki Sawano,anime score
Attention,Charlie Puth,pop
Atwined,Leonid Antonov,
Auckland Sunrise,Fred V & Grafix,dancefloor dnb
Aurora,Jisatsu,anime lo-fi
Aurora,K-391,nordic house
